storm.trident.fluent                              	Uses of Package storm.trident.state (Storm Core 0.9.2-incubating API)                               	storm.trident.fluent (Storm Core 0.9.2-incubating API)                                              	                                                                                 Classes in storm.trident.state used by  <<LNK>>                                                                                                                         	 Package Next Package Frames No Frames All Classes Copyright © 2014 The Apache Software Foundation. All Rights Reserved. <<HIT>> JavaScript is disabled on your browser. Overview Package Class Use Tree Deprecated Index Help Prev Package Next Package 	/storm.tgz!/storm.docset/Contents/Resources/Documents/storm/trident/state/package-use.html	/storm.tgz!/storm.docset/Contents/Resources/Documents/storm/trident/fluent/package-summary.html	
expression                                        	()                                                                                                  	expression                                                                                          	                                                                                             the structure of a complex  <<LNK>>  clearer.                                                                                                               	Description A value, a source of value, or a set of values combined with operators, that can be taken as a single whole. <<HIT>> expression Type glossary Dictionary LCS Library LiveCode Script Synonyms expression Related Glossary: operator, value De	/LiveCode.tgz!/Livecode.docset/Contents/Resources/Documents/_28_29_LCS_operator.html	/LiveCode.tgz!/Livecode.docset/Contents/Resources/Documents/expression_LCS_glossary.html	
IsNumber                                          	Function IsInt                                                                                      	Function IsNumber                                                                                   	                                                                            IsArray, IsBinary, IsBool, IsFloat, IsHWnd,  <<LNK>> , IsPtr, IsString, StringIsInt, VarGetType                                                                              	_SYSTEMMODAL, "", "The variable is a number") Else     MsgBox($MB_SYSTEMMODAL, "", "The variable is not a number") EndIf <<HIT>> ﻿ Function IsNumber Function Reference IsNumber Checks if a variable's base type is numeric. IsNumber ( variable ) Param	/AutoIt.tgz!/AutoIt.docset/Contents/Resources/Documents/functions/IsInt.htm	/AutoIt.tgz!/AutoIt.docset/Contents/Resources/Documents/functions/IsNumber.htm	
className                                         	Class Poco::LibraryAlreadyLoadedException                                                           	Class Poco::LibraryAlreadyLoadedException                                                           	                                                                                                      Member Functions:  <<LNK>> , clone, name, operator =, rethrow                                                                                      	                                            const char * className() const;See also: Poco::RuntimeException::className() <<HIT>> const char * className() const;See also: Poco::RuntimeException::className()                                            	/Poco.tgz!/Poco.docset/Contents/Resources/Documents/Poco.LibraryAlreadyLoadedException.html	/Poco.tgz!/Poco.docset/Contents/Resources/Documents/Poco.LibraryAlreadyLoadedException.html	#11954
backtype.storm.messaging                          	Uses of Package backtype.storm.messaging (Storm Core 0.9.2-incubating API)                          	backtype.storm.messaging (Storm Core 0.9.2-incubating API)                                          	                                                                                                      Packages that use  <<LNK>>                                                                                                                         	 Package Next Package Frames No Frames All Classes Copyright © 2014 The Apache Software Foundation. All Rights Reserved. <<HIT>> JavaScript is disabled on your browser. Overview Package Class Use Tree Deprecated Index Help Prev Package Next Package 	/storm.tgz!/storm.docset/Contents/Resources/Documents/backtype/storm/messaging/package-use.html	/storm.tgz!/storm.docset/Contents/Resources/Documents/backtype/storm/messaging/package-summary.html	
ZPP_Compound                                      	ZPP_Compound                                                                                        	ZPP_Compound                                                                                        	 Available on all platforms Instance Fields var bodies:ZNPList_ZPP_Body var compound:ZPP_Compound var compounds:ZNPList_ <<LNK>>  var constraints:ZNPList_ZPP_Constraint var depth:Int var outer:Compound var space:ZPP_Space var wrap_bodies:BodyList va	n copy(?dict:Array<ZPP_CopyHelper> = null, ?todo:Array<ZPP_CopyHelper> = null):Compound function removedFromSpace():Void <<HIT>> Platform All Platforms flash class zpp_nape.phys.ZPP_Compound extends ZPP_Interactor import zpp_nape.phys.Compound; Avai	/HaxeFlixel.tgz!/HaxeFlixel.docset/Contents/Resources/Documents/zpp_nape/phys/ZPP_Compound.html	/HaxeFlixel.tgz!/HaxeFlixel.docset/Contents/Resources/Documents/zpp_nape/phys/ZPP_Compound.html	
timers                                            	#ClipboardTimeout                                                                                   	SetTimer                                                                                            	               Whenever the script is waiting for the clipboard to become available, new threads cannot be launched and  <<LNK>>  will not run. However, if the user presses a hotkey, selects a custom menu item, or performs a GUI action such as press	                                                                                                            ; the timer: <<HIT>> ; the timer:                                                                                                             …                                                                                         SetTimer, CloseMailWarnings, 250 <<HIT>> SetTimer, CloseMailWarnings, 250                                                                                         …                                                                                                    SetTimer, Alert1, 500 <<HIT>> SetTimer, Alert1, 500                                                                                                    …                                                                                                           counter.Stop() <<HIT>> counter.Stop()                                                                                                           …                                                                                                          counter.Start() <<HIT>> counter.Start()                                                                                                          …                                                                          { Run, m:\multimedia ; Open a different folder. <<HIT>> { Run, m:\multimedia ; Open a different folder.                                                                         	/AutoHotkey.tgz!/AutoHotkey.docset/Contents/Resources/Documents/commands/_ClipboardTimeout.htm	/AutoHotkey.tgz!/AutoHotkey.docset/Contents/Resources/Documents/commands/SetTimer.htm	
_GUICtrlSlider_GetSelStart                        	Function _GUICtrlSlider_SetSelStart                                                                 	Function _GUICtrlSlider_GetSelStart                                                                 	                                                                        _GUICtrlSlider_ClearSel, _GUICtrlSlider_GetSel,  <<LNK>> , _GUICtrlSlider_SetSel, _GUICtrlSlider_SetSelEnd                                                                       	)     ; Loop until the user exits.     Do     Until GUIGetMsg() = $GUI_EVENT_CLOSE     GUIDelete() EndFunc   ;==>Example <<HIT>> ﻿ Function _GUICtrlSlider_GetSelStart Function Reference _GUICtrlSlider_GetSelStart Retrieves the starting position of t	/AutoIt.tgz!/AutoIt.docset/Contents/Resources/Documents/libfunctions/_GUICtrlSlider_SetSelStart.htm	/AutoIt.tgz!/AutoIt.docset/Contents/Resources/Documents/libfunctions/_GUICtrlSlider_GetSelStart.htm	
InetGetInfo()                                     	Function InetGet                                                                                    	Function InetGetInfo                                                                                	INET_DOWNLOADBACKGROUND (1) the function returns immediately and the download continues in the background. The function  <<LNK>>  can be used to check the status of the download. It takes the handle returned from InetGet().                          	ded: " & $aData[$INET_DOWNLOADEXTENDED] & @CRLF)     ; Delete the file.     FileDelete($sFilePath) EndFunc   ;==>Example <<HIT>> ﻿ Function InetGetInfo Function Reference InetGetInfo Returns detailed data for a handle returned from InetGet(). InetGe	/AutoIt.tgz!/AutoIt.docset/Contents/Resources/Documents/functions/InetGet.htm	/AutoIt.tgz!/AutoIt.docset/Contents/Resources/Documents/functions/InetGetInfo.htm	
XMLByteInputStream                                	Class Poco::XML::InputSource                                                                        	Namespace Poco::XML                                                                                 	                                                                                                           InputSource(  <<LNK>>  & istr );                                                                                                              	                                                                                typedef std::istream XMLByteInputStream; <<HIT>> typedef std::istream XMLByteInputStream;                                                                                	/Poco.tgz!/Poco.docset/Contents/Resources/Documents/Poco.XML.InputSource.html	/Poco.tgz!/Poco.docset/Contents/Resources/Documents/Poco.XML.html	#31874
rte_ring.h                                        	DPDK: lib/librte_port/rte_port_frag.h File Reference                                                	DPDK: lib/librte_ring/rte_ring.h File Reference                                                     	                                                                                                              #include < <<LNK>> >                                                                                                                       	ber of objects to add in the ring from the obj_table. Returns n: Actual number of objects enqueued. Generated by 1.8.9.1 <<HIT>> DPDK lib librte_ring Data Structures | Macros | Functions rte_ring.h File Reference #include <stdio.h> #include <stdint.	/DPDK.tgz!/DPDK.docset/Contents/Resources/Documents/rte__port__frag_8h.html	/DPDK.tgz!/DPDK.docset/Contents/Resources/Documents/rte__ring_8h.html	
constructor                                       	SlideTransition | NativeScript                                                                      	Transition | NativeScript                                                                           	                                                                                                  Overwrites Transition. <<LNK>>                                                                                                                         	transition.d.ts:14 Returns number toString toString(): string Defined in ui/transition/transition.d.ts:18 Returns string <<HIT>> Globals "ui/transition" Transition Class Transition Hierarchy Transition Index Constructors constructor Methods animateI	/NativeScript.tgz!/NativeScript.docset/Contents/Resources/Documents/classes/nativescript._ui_transition_slide_transition_.slidetransition.html	/NativeScript.tgz!/NativeScript.docset/Contents/Resources/Documents/classes/nativescript._ui_transition_.transition.html	#constructor
Nimbus.beginFileUpload_result._Fields             	Nimbus.beginFileUpload_result._Fields (Storm Core 0.9.2-incubating API)                             	Nimbus.beginFileUpload_result._Fields (Storm Core 0.9.2-incubating API)                             	                                                                                                                 static  <<LNK>>                                                                                                                         	                                                                     extends Enum<Nimbus.beginFileUpload_result._Fields> <<HIT>> extends Enum<Nimbus.beginFileUpload_result._Fields>                                                                      … the constants as follows: for (Nimbus.beginFileUpload_result._Fields c : Nimbus.beginFileUpload_result._Fields.values()) <<HIT>> implements org.apache.thrift.TFieldIdEnum The set of fields this struct contains, along with convenience methods for fin … d | Method Detail: Enum Constants | Field | Method Copyright © 2014 The Apache Software Foundation. All Rights Reserved. <<HIT>> System.out.println(c); Returns: an array containing the constants of this enum type, in the order they are declared valu … ift.TFieldIdEnum Enclosing class: Nimbus.beginFileUpload_result public static enum Nimbus.beginFileUpload_result._Fields <<HIT>> JavaScript is disabled on your browser. Overview Package Class Use Tree Deprecated Index Help Prev Class Next Class Fram	/storm.tgz!/storm.docset/Contents/Resources/Documents/backtype/storm/generated/Nimbus.beginFileUpload_result._Fields.html	/storm.tgz!/storm.docset/Contents/Resources/Documents/backtype/storm/generated/Nimbus.beginFileUpload_result._Fields.html	
KeyHistory                                        	#InstallMouseHook                                                                                   	KeyHistory                                                                                          	y contrast, the #InstallMouseHook directive will unconditionally install the mouse hook, which might be useful to allow  <<LNK>>  to monitor mouse clicks.                                                                                               	tkeys, ListLines, ListVars, GetKeyState, KeyWait, A_PriorKey Examples KeyHistory ; Display the history info in a window. <<HIT>> #InstallMouseHook Related #KeyHistory, #InstallKeybdHook, #InstallMouseHook, ListHotkeys, ListLines, ListVars, GetKeySta … You can force the hooks to be installed by adding either or both of the following lines to the script: #InstallKeybdHook <<HIT>> KeyHistory Displays script info and a history of the most recent keystrokes and mouse clicks. KeyHistory Remarks This co	/AutoHotkey.tgz!/AutoHotkey.docset/Contents/Resources/Documents/commands/_InstallMouseHook.htm	/AutoHotkey.tgz!/AutoHotkey.docset/Contents/Resources/Documents/commands/KeyHistory.htm	
supportsIP                                        	Class Poco::Net::NetworkInterface                                                                   	Class Poco::Net::NetworkInterface                                                                   	 isRunning, isUp, list, macAddress, map, mtu, name, operator <, operator =, operator ==, subnetMask, supportsBroadcast,  <<LNK>> , supportsIPv4, supportsIPv6, supportsMulticast, swap, type                                                             	                                                      bool supportsIP() const;Returns true if the interface supports IP. <<HIT>> bool supportsIP() const;Returns true if the interface supports IP.                                                      	/Poco.tgz!/Poco.docset/Contents/Resources/Documents/Poco.Net.NetworkInterface.html	/Poco.tgz!/Poco.docset/Contents/Resources/Documents/Poco.Net.NetworkInterface.html	#24352
matroskadec.c                                     	Libav: MatroskaLevel Struct Reference                                                               	Libav: libavformat/matroskadec.c Source File                                                        	                                                                                         Definition at line 224 of file  <<LNK>> .                                                                                                                       	get::attachuid uint64_t attachuid Definition: matroskadec.c:211 Generated on Fri Dec 1 2017 07:12:09 for Libav by 1.8.13 <<HIT>> Libav libavformat matroskadec.c Go to the documentation of this file. 1 /* 2 * Matroska file demuxer 3 * Copyright (c) 2	/Libav.tgz!/Libav.docset/Contents/Resources/Documents/api/structMatroskaLevel.html	/Libav.tgz!/Libav.docset/Contents/Resources/Documents/api/matroskadec_8c_source.html	
[docs]                                            	airflow.executors — Airflow Documentation                                                           	airflow.executors — Airflow Documentation                                                           	                                                                                                      [docs]def _get_exe <<LNK>> executor_name):                                                                                                         	not know in airflow, look for it in the plugins Next Previous Built with Sphinx using a theme provided by Read the Docs. <<HIT>> Airflow 1.10.4 Project License Quick Start Installation Tutorial How-to Guides UI / Screenshots Concepts Scheduling & Tr	/Airflow.tgz!/Airflow.docset/Contents/Resources/Documents/_modules/airflow/executors.html	/Airflow.tgz!/Airflow.docset/Contents/Resources/Documents/_api/airflow/executors/index.html	#airflow.executors._get_executor
AbstractFunction                                  	StkModalBar | SuperCollider 3.10.0 Help                                                             	AbstractFunction | SuperCollider 3.10.0 Help                                                        	                                                                                                   StkModalBar : UGen :  <<LNK>>  : Object                                                                                                               	                                                    // Patterns, Streams, UGens, and Proxies are AbstractFunctions, too: <<HIT>> // Patterns, Streams, UGens, and Proxies are AbstractFunctions, too:                                                     …                                                      (a trunc: 2).value(10); .atan2(function, adverb) a = { 1.0.rand2 }; <<HIT>> (a trunc: 2).value(10); .atan2(function, adverb) a = { 1.0.rand2 };                                                      …        ) .absdif(function, adverb) (a - b).abs({ [5, 6, 2].choose.postln } absdif: { [2, -1, 3].choose.postln }).value ( <<HIT>> ) .absdif(function, adverb) (a - b).abs({ [5, 6, 2].choose.postln } absdif: { [2, -1, 3].choose.postln }).value (        …                                    (a round: 0.5).value(1.0); .trunc(function: 1, adverb) a = { |max| max.rand.postln }; <<HIT>> (a round: 0.5).value(1.0); .trunc(function: 1, adverb) a = { |max| max.rand.postln };                                    …                                                                                                    // Add two functions: <<HIT>> // Add two functions:                                                                                                    …                                                                                                    // Add two functions: <<HIT>> // Add two functions:                                                                                                    … ollider/SuperCollider.app/Contents/Resources/HelpSource/Classes/AbstractFunction.schelp link::Classes/AbstractFunction:: <<HIT>> a.value(0.5); a.value((0, 0.06..1)); // creates a range of values.. helpfile source: /Applications/SuperCollider/SuperCo … er with the unary message selector as an argument. See UnaryOpFunction. .neg a = { 10.rand.postln }; b = a.neg; b.value; <<HIT>> AbstractFunction: Filter: Description Class methods Inherited class methods Instance methods Unary Messages neg reciproc	/supercollider.tgz!/supercollider.docset/Contents/Resources/Documents/Classes/StkModalBar.html	/supercollider.tgz!/supercollider.docset/Contents/Resources/Documents/Classes/AbstractFunction.html	
EnumHashBiMap                                     	Uses of Class com.google.common.collect.EnumHashBiMap (Guava: Google Core Libraries for Java 18.0 AP	EnumHashBiMap (Guava: Google Core Libraries for Java 18.0 API)                                      	                                                                                           static <K extends Enum<K>,V>  <<LNK>> <K,V>                                                                                                                   	                                                                   public final class EnumHashBiMap<K extends Enum<K>,V> <<HIT>> public final class EnumHashBiMap<K extends Enum<K>,V>                                                                    … es Summary: Nested | Field | Constr | Method Detail: Field | Constr | Method Copyright © 2010-2014. All Rights Reserved. <<HIT>> extends ForwardingMap<K,V> A BiMap backed by an EnumMap instance for keys-to-values, and a HashMap instance for values-t … .collect.EnumHashBiMap<K,V> All Implemented Interfaces: BiMap<K,V>, Serializable, Map<K,V> @GwtCompatible(emulated=true) <<HIT>> JavaScript is disabled on your browser. Overview Package Class Use Tree Deprecated Index Help Prev Class Next Class Fram	/Guava.tgz!/Guava.docset/Contents/Resources/Documents/com/google/common/collect/class-use/EnumHashBiMap.html	/Guava.tgz!/Guava.docset/Contents/Resources/Documents/com/google/common/collect/EnumHashBiMap.html	
backtype.storm                                    	Uses of Interface backtype.storm.daemon.Shutdownable (Storm Core 0.9.2-incubating API)              	backtype.storm (Storm Core 0.9.2-incubating API)                                                    	                                                                                       Subinterfaces of Shutdownable in  <<LNK>>                                                                                                                         	 Package Next Package Frames No Frames All Classes Copyright © 2014 The Apache Software Foundation. All Rights Reserved. <<HIT>> JavaScript is disabled on your browser. Overview Package Class Use Tree Deprecated Index Help Prev Package Next Package 	/storm.tgz!/storm.docset/Contents/Resources/Documents/backtype/storm/daemon/class-use/Shutdownable.html	/storm.tgz!/storm.docset/Contents/Resources/Documents/backtype/storm/package-summary.html	
FileMove()                                        	Function FileCreateNTFSLink                                                                         	Function FileMove                                                                                   	                                                                                                        FileDelete() or  <<LNK>>  can be used on hardlink.                                                                                               	iles. FileDelete checks if the file exists.     FileDelete($sSource)     FileDelete($sDestination) EndFunc   ;==>Example <<HIT>> ﻿ Function FileMove Function Reference FileMove Moves one or more files. FileMove ( "source", "dest" [, flag = 0] ) Para	/AutoIt.tgz!/AutoIt.docset/Contents/Resources/Documents/functions/FileCreateNTFSLink.htm	/AutoIt.tgz!/AutoIt.docset/Contents/Resources/Documents/functions/FileMove.htm	
backtype.storm.generated                          	Uses of Class backtype.storm.generated.ExecutorSpecificStats._Fields (Storm Core 0.9.2-incubating AP	backtype.storm.generated (Storm Core 0.9.2-incubating API)                                          	                                                                                                              Fields in  <<LNK>>  with type parameters of type ExecutorSpecificStats._Fields                                                             	 Package Next Package Frames No Frames All Classes Copyright © 2014 The Apache Software Foundation. All Rights Reserved. <<HIT>> JavaScript is disabled on your browser. Overview Package Class Use Tree Deprecated Index Help Prev Package Next Package 	/storm.tgz!/storm.docset/Contents/Resources/Documents/backtype/storm/generated/class-use/ExecutorSpecificStats._Fields.html	/storm.tgz!/storm.docset/Contents/Resources/Documents/backtype/storm/generated/package-summary.html	
DigestOutputStream                                	Class Poco::DigestIOS                                                                               	Class Poco::DigestOutputStream                                                                      	                                                                               The base class for DigestInputStream and  <<LNK>> .                                                                                                                       	d close(); POCO C++ Libraries 1.9.4-all Copyright © 2019, Applied Informatics Software Engineering GmbH and Contributors <<HIT>> Poco class DigestOutputStream Library: Foundation Package: Crypt Header: Poco/DigestStream.h Description This ostream co	/Poco.tgz!/Poco.docset/Contents/Resources/Documents/Poco.DigestIOS.html	/Poco.tgz!/Poco.docset/Contents/Resources/Documents/Poco.DigestOutputStream.html	
Iterables                                         	Iterables (Guava: Google Core Libraries for Java 18.0 API)                                          	Source code                                                                                         	                                                                                                     public final class  <<LNK>>                                                                                                                         	                                                                                            053 * {@code Iterables}</a>. <<HIT>> 053 * {@code Iterables}</a>.                                                                                             …                                                                                              509 iterables.iterator()) { <<HIT>> 509 iterables.iterator()) {                                                                                              …                                                   1008 * <p>Callers must ensure that the source {@code iterables} are in <<HIT>> 1008 * <p>Callers must ensure that the source {@code iterables} are in                                                   …                                                          1026 Iterables.transform(iterables, Iterables.<T>toIterator()), <<HIT>> 1026 Iterables.transform(iterables, Iterables.<T>toIterator()),                                                          …                                                         388 * {@code Iterables.concat(Collections.nCopies(n, iterable))} <<HIT>> 388 * {@code Iterables.concat(Collections.nCopies(n, iterable))}                                                         …                                                                           965 return "Iterables.consumingIterable(...)"; <<HIT>> 965 return "Iterables.consumingIterable(...)";                                                                           …                                                                           950 return "Iterables.consumingIterable(...)"; <<HIT>> 950 return "Iterables.consumingIterable(...)";                                                                           …                                                  1006 * {@code iterables}. Equivalent entries will not be de-duplicated. <<HIT>> 1006 * {@code iterables}. Equivalent entries will not be de-duplicated.                                                  …                                                               507 Iterable<? extends Iterable<? extends T>> iterables) { <<HIT>> 507 Iterable<? extends Iterable<? extends T>> iterables) {                                                               …                                                                               1020 checkNotNull(iterables, "iterables"); <<HIT>> 1020 checkNotNull(iterables, "iterables");                                                                               …                                                          1018 final Iterable<? extends Iterable<? extends T>> iterables, <<HIT>> 1018 final Iterable<? extends Iterable<? extends T>> iterables,                                                          …                                                     504 * Returns an iterator over the iterators of the given iterables. <<HIT>> 504 * Returns an iterator over the iterators of the given iterables.                                                     …                                                                                               061 private Iterables() {} <<HIT>> 061 private Iterables() {}                                                                                               …                                                                       986 // Methods only in Iterables, not in Iterators <<HIT>> 986 // Methods only in Iterables, not in Iterators                                                                       …                                                                                        060public final class Iterables { <<HIT>> 060public final class Iterables {                                                                                        …                                                                                              727 checkNotNull(iterable); <<HIT>> 727 checkNotNull(iterable);                                                                                              …                                                  722 * @return the element at the specified position in {@code iterable} <<HIT>> 722 * @return the element at the specified position in {@code iterable}                                                  …                                                                                              748 checkNotNull(iterable); <<HIT>> 748 checkNotNull(iterable);                                                                                              …                                                                                          708 checkNotNull(fromIterable); <<HIT>> 708 checkNotNull(fromIterable);                                                                                          …                                                                                              568 checkNotNull(iterable); <<HIT>> 568 checkNotNull(iterable);                                                                                              …                                                      719 * Returns the element at the specified position in an iterable. <<HIT>> 719 * Returns the element at the specified position in an iterable.                                                      …                                                                       751 List<? extends T> list = Lists.cast(iterable); <<HIT>> 751 List<? extends T> list = Lists.cast(iterable);                                                                       …                                                                                              391 checkNotNull(iterable); <<HIT>> 391 checkNotNull(iterable);                                                                                              …                                                                                              539 checkNotNull(iterable); <<HIT>> 539 checkNotNull(iterable);                                                                                              …                                                                                                     069 return iterable; <<HIT>> 069 return iterable;                                                                                                     …                                                                                                     696 * fromIterable}. <<HIT>> 696 * fromIterable}.                                                                                                     …                                                                 119 Collection<?> collection = (Collection<?>) iterable; <<HIT>> 119 Collection<?> collection = (Collection<?>) iterable;                                                                 …                                                             063 /** Returns an unmodifiable view of {@code iterable}. */ <<HIT>> 063 /** Returns an unmodifiable view of {@code iterable}. */                                                             …                                                                105 * Returns the number of elements in {@code iterable}. <<HIT>> 105 * Returns the number of elements in {@code iterable}.                                                                …                                                                                   081 ImmutableCollection<E> iterable) { <<HIT>> 081 ImmutableCollection<E> iterable) {                                                                                  	/Guava.tgz!/Guava.docset/Contents/Resources/Documents/com/google/common/collect/Iterables.html	/Guava.tgz!/Guava.docset/Contents/Resources/Documents/src-html/com/google/common/collect/Iterables.html	#line.60
